exch_code,commodity,future_year,future_month,strike_price,trade_date,spread_flag,record_id,trade_price,buy_cti1,sell_cti1,net_cti1,buy_cti2,sell_cti2,net_cti2,buy_cti3,sell_cti3,net_cti3,buy_cti4,sell_cti4,net_cti4,total_cti,bracket,put_call,eof
XCBT,ZB,2011,H,,20101221,N,D,12031,248,349,-101,343,415,-72,1,0,1,283,111,172,1750,08c,,X
XCBT,ZB,2011,H,,20101221,N,D,12031,40,119,-79,365,280,85,2,0,2,26,34,-8,866,08d,,X
XCBT,ZB,2011,H,,20101221,N,D,12031,516,384,132,865,1013,-148,0,0,0,171,155,16,3104,09a,,X
XCBT,ZB,2011,H,,20101221,N,D,12031,69,131,-62,194,254,-60,0,0,0,191,69,122,908,09b,,X
XCBT,ZB,2011,H,,20101221,N,D,12031,188,237,-49,438,363,75,0,0,0,345,371,-26,1942,09c,,X
XCBT,ZB,2011,H,,20101221,N,D,12031,132,71,61,73,142,-69,0,0,0,16,8,8,442,09d,,X
XCBT,ZB,2011,H,,20101221,N,D,12031,283,139,144,344,414,-70,0,0,0,241,315,-74,1736,10a,,X
XCBT,ZB,2011,H,,20101221,N,D,12031,7,63,-56,103,76,27,0,0,0,51,22,29,322,10b,,X
XCBT,ZB,2011,H,,20101221,N,D,12031,17,49,-32,107,86,21,0,0,0,156,145,11,560,13a,,X
XCBT,ZB,2011,H,,20101221,N,D,12031,208,167,41,218,432,-214,0,0,0,261,88,173,1374,13c,,X
XCBT,ZB,2011,H,,20101221,N,D,12031,8,18,-10,9,9,0,0,0,0,19,9,10,72,17c,,X
XCBT,ZB,2011,H,,20101221,N,D,12031,8,0,8,2,3,-1,0,0,0,4,11,-7,28,17d,,X
XCBT,ZB,2011,H,,20101221,N,D,12031,18,3,15,4,3,1,0,0,0,27,43,-16,98,18a,,X
XCBT,ZB,2011,H,,20101221,N,D,12031,6,0,6,13,7,6,0,0,0,21,33,-12,80,18b,,X
XCBT,ZB,2011,H,,20101221,N,D,12031,6,2,4,4,7,-3,0,0,0,10,11,-1,40,19d,,X
XCBT,ZB,2011,H,,20101221,N,D,12031,0,0,0,0,1,-1,0,0,0,1,0,1,2,20a,,X
XCBT,ZB,2011,H,,20101221,N,A,12031,2304,2140,164,3756,4172,-416,4,0,4,2301,2053,248,16730,01c01d02a02b02c02d03a07b07c08b08c08d09a09b09c09d10a10b13a13c17c17d18a18b19d20a,,X
XCBT,ZB,2011,H,,20101221,Y,D,12031,3,0,3,0,3,-3,0,0,0,0,0,0,6,01c,,X
XCBT,ZB,2011,H,,20101221,Y,D,12031,0,0,0,3,0,3,0,0,0,0,3,-3,6,07b,,X
XCBT,ZB,2011,H,,20101221,Y,D,12031,0,0,0,5,2,3,0,0,0,0,3,-3,10,08c,,X
XCBT,ZB,2011,H,,20101221,Y,D,12031,15,0,15,5,390,-385,0,0,0,492,122,370,1024,09a,,X
XCBT,ZB,2011,H,,20101221,Y,D,12031,5,0,5,5,10,-5,0,0,0,0,0,0,20,09b,,X
XCBT,ZB,2011,H,,20101221,Y,D,12031,1,0,1,2,2,0,0,0,0,2,3,-1,10,10a,,X
XCBT,ZB,2011,H,,20101221,Y,D,12031,0,0,0,0,9,-9,0,0,0,9,0,9,18,13a,,X
XCBT,ZB,2011,H,,20101221,Y,A,12031,24,0,24,20,416,-396,0,0,0,503,131,372,1094,01c07b08c09a09b10a13a,,X
XCBT,ZB,2011,H,,20101221,N,D,12100,66,17,49,36,52,-16,0,0,0,24,57,-33,252,01d,,X
XCBT,ZB,2011,H,,20101221,N,D,12100,56,97,-41,65,191,-126,0,0,0,208,41,167,658,02a,,X
XCBT,ZB,2011,H,,20101221,N,D,12100,18,25,-7,25,32,-7,0,0,0,36,22,14,158,02b,,X
XCBT,ZB,2011,H,,20101221,N,D,12100,67,82,-15,68,82,-14,0,0,0,52,23,29,374,02c,,X
XCBT,ZB,2011,H,,20101221,N,D,12100,11,19,-8,2,25,-23,0,0,0,32,1,31,90,02d,,X
XCBT,ZB,2011,H,,20101221,N,D,12100,44,21,23,116,36,80,0,0,0,3,106,-103,326,03a,,X
XCBT,ZB,2011,H,,20101221,N,D,12100,9,15,-6,44,41,3,0,0,0,14,11,3,134,03b,,X
XCBT,ZB,2011,H,,20101221,N,D,12100,17,2,15,47,6,41,0,0,0,28,84,-56,184,05a,,X
XCBT,ZB,2011,H,,20101221,N,D,12100,78,117,-39,56,88,-32,0,0,0,206,135,71,680,07b,,X
XCBT,ZB,2011,H,,20101221,N,D,12100,62,27,35,113,16,97,0,0,0,2,134,-132,354,07c,,X
XCBT,ZB,2011,H,,20101221,N,D,12100,102,207,-105,267,592,-325,0,1,-1,686,255,431,2110,08b,,X
XCBT,ZB,2011,H,,20101221,N,D,12100,580,302,278,615,760,-145,0,1,-1,225,357,-132,2840,08c,,X
XCBT,ZB,2011,H,,20101221,N,D,12100,54,93,-39,174,182,-8,0,1,-1,128,80,48,712,08d,,X
XCBT,ZB,2011,H,,20101221,N,D,12100,163,99,64,202,106,96,0,1,-1,14,173,-159,758,09a,,X
XCBT,ZB,2011,H,,20101221,N,D,12100,341,458,-117,919,745,174,0,0,0,405,462,-57,3330,09c,,X
XCBT,ZB,2011,H,,20101221,N,D,12100,114,6,108,56,181,-125,0,0,0,142,125,17,624,09d,,X
XCBT,ZB,2011,H,,20101221,N,D,12100,240,131,109,603,547,56,0,0,0,158,323,-165,2002,10a,,X
XCBT,ZB,2011,H,,20101221,N,D,12100,21,87,-66,43,13,30,0,0,0,39,3,36,206,10b,,X
XCBT,ZB,2011,H,,20101221,N,D,12100,56,107,-51,147,112,35,0,0,0,156,140,16,718,13c,,X
XCBT,ZB,2011,H,,20101221,N,D,12100,0,0,0,0,0,0,0,0,0,2,2,0,4,14c,,X
XCBT,ZB,2011,H,,20101221,N,D,12100,10,21,-11,46,8,38,0,0,0,59,86,-27,230,17c,,X
XCBT,ZB,2011,H,,20101221,N,D,12100,24,6,18,14,45,-31,0,0,0,19,6,13,114,18a,,X
XCBT,ZB,2011,H,,20101221,N,D,12100,1,11,-10,4,11,-7,0,0,0,33,16,17,76,18b,,X
XCBT,ZB,2011,H,,20101221,N,D,12100,0,0,0,2,0,2,0,0,0,0,2,-2,4,18c,,X
XCBT,ZB,2011,H,,20101221,N,D,12100,0,0,0,23,0,23,0,0,0,0,23,-23,46,19c,,X
XCBT,ZB,2011,H,,20101221,N,D,12100,11,0,11,44,59,-15,0,0,0,4,0,4,118,19d,,X
XCBT,ZB,2011,H,,20101221,N,A,12100,2145,1950,195,3731,3930,-199,0,4,-4,2675,2667,8,17102,01d02a02b02c02d03a03b05a07b07c08b08c08d09a09c09d10a10b13c14c17c18a18b18c19c19d,,X
XCBT,ZB,2011,H,,20101221,Y,D,12100,0,0,0,3,3,0,0,0,0,0,0,0,6,01d,,X
XCBT,ZB,2011,H,,20101221,Y,D,12100,0,0,0,5,2,3,0,0,0,0,3,-3,10,08b,,X
XCBT,ZB,2011,H,,20101221,Y,D,12100,9,0,9,0,9,-9,0,0,0,0,0,0,18,08c,,X
XCBT,ZB,2011,H,,20101221,Y,D,12100,0,0,0,2,2,0,0,0,0,0,0,0,4,09c,,X
XCBT,ZB,2011,H,,20101221,Y,D,12100,0,0,0,0,6,-6,0,0,0,6,0,6,12,09d,,X
XCBT,ZB,2011,H,,20101221,Y,D,12100,0,0,0,0,1,-1,0,0,0,1,0,1,2,10a,,X
XCBT,ZB,2011,H,,20101221,Y,D,12100,0,3,-3,0,0,0,0,0,0,3,0,3,6,13c,,X
XCBT,ZB,2011,H,,20101221,Y,D,12100,0,0,0,1,1,0,0,0,0,0,0,0,2,18a,,X
XCBT,ZB,2011,H,,20101221,Y,A,12100,9,3,6,11,24,-13,0,0,0,10,3,7,60,01d08b08c09c09d10a13c18a,,X
XCBT,ZB,2011,H,,20101221,N,D,12101,39,29,10,113,191,-78,0,0,0,91,23,68,486,01d,,X
XCBT,ZB,2011,H,,20101221,N,D,12101,10,15,-5,43,55,-12,0,0,0,35,18,17,176,02a,,X
XCBT,ZB,2011,H,,20101221,N,D,12101,37,85,-48,198,174,24,0,0,0,95,71,24,660,02b,,X
XCBT,ZB,2011,H,,20101221,N,D,12101,62,38,24,6,22,-16,0,0,0,8,16,-8,152,02c,,X
XCBT,ZB,2011,H,,20101221,N,D,12101,28,15,13,7,49,-42,0,0,0,29,0,29,128,02d,,X
XCBT,ZB,2011,H,,20101221,N,D,12101,0,4,-4,0,7,-7,0,0,0,15,4,11,30,03a,,X
XCBT,ZB,2011,H,,20101221,N,D,12101,52,58,-6,55,90,-35,0,0,0,53,12,41,320,03b,,X
XCBT,ZB,2011,H,,20101221,N,D,12101,23,9,14,13,21,-8,0,0,0,4,10,-6,80,03c,,X
XCBT,ZB,2011,H,,20101221,N,D,12101,49,55,-6,95,84,11,0,0,0,11,16,-5,310,05a,,X
XCBT,ZB,2011,H,,20101221,N,D,12101,3,1,2,2,0,2,0,0,0,2,6,-4,14,07a,,X
XCBT,ZB,2011,H,,20101221,N,D,12101,237,296,-59,314,274,40,1,0,1,375,357,18,1854,07b,,X
XCBT,ZB,2011,H,,20101221,N,D,12101,81,38,43,120,30,90,0,0,0,24,157,-133,450,07c,,X
XCBT,ZB,2011,H,,20101221,N,D,12101,58,143,-85,322,257,65,0,0,0,60,40,20,880,08b,,X
XCBT,ZB,2011,H,,20101221,N,D,12101,491,591,-100,1888,1661,227,0,0,0,395,522,-127,5548,08c,,X
XCBT,ZB,2011,H,,20101221,N,D,12101,16,48,-32,174,138,36,0,0,0,2,6,-4,384,08d,,X
XCBT,ZB,2011,H,,20101221,N,D,12101,0,0,0,0,4,-4,0,0,0,4,0,4,8,09a,,X
XCBT,ZB,2011,H,,20101221,N,D,12101,201,236,-35,395,323,72,0,0,0,371,408,-37,1934,09c,,X
XCBT,ZB,2011,H,,20101221,N,D,12101,35,122,-87,50,204,-154,0,0,0,271,30,241,712,09d,,X
XCBT,ZB,2011,H,,20101221,N,D,12101,369,227,142,430,486,-56,0,0,0,205,291,-86,2008,10a,,X
XCBT,ZB,2011,H,,20101221,N,D,12101,44,20,24,136,212,-76,0,0,0,61,9,52,482,10b,,X
XCBT,ZB,2011,H,,20101221,N,D,12101,0,57,-57,179,84,95,0,0,0,30,68,-38,418,13c,,X
XCBT,ZB,2011,H,,20101221,N,D,12101,12,72,-60,23,134,-111,0,0,0,225,54,171,520,14c,,X
XCBT,ZB,2011,H,,20101221,N,D,12101,0,4,-4,2,14,-12,0,0,0,44,28,16,92,18a,,X
XCBT,ZB,2011,H,,20101221,N,D,12101,0,7,-7,6,7,-1,0,0,0,21,13,8,54,18b,,X
XCBT,ZB,2011,H,,20101221,N,D,12101,5,2,3,8,2,6,0,0,0,4,13,-9,34,18c,,X
XCBT,ZB,2011,H,,20101221,N,D,12101,14,3,11,23,12,11,0,0,0,12,34,-22,98,19c,,X
XCBT,ZB,2011,H,,20101221,N,D,12101,0,2,-2,0,1,-1,0,0,0,3,0,3,6,19d,,X
XCBT,ZB,2011,H,,20101221,N,A,12101,1866,2177,-311,4602,4536,66,1,0,1,2450,2206,244,17838,01d02a02b02c02d03a03b03c05a07a07b07c08b08c08d09a09c09d10a10b13c14c18a18b18c19c19d,,X
